Dataset_name,Model_name,Train_accuracy,Test_accuracy,Train_precision,Test_precision,Train_recall,Test_recall,Train_F1_score,Test_F1_score
V2_TimeBin1_RAW_Subject0-1_Experiment1-2-3_Time_window--400-1600_Freq-50-nan,logistic regression,1.0,0.9166666666666666,1.0,0.7857142857142857,1.0,0.6111111111111112,1.0,0.6875000000000001
V2_TimeBin1_RAW_Subject0-1_Experiment1-2-3_Time_window--400-1600_Freq-50-nan,logistic regression SMOTE,1.0,0.9166666666666666,1.0,0.7857142857142857,1.0,0.6111111111111112,1.0,0.6875000000000001
V2_TimeBin1_RAW_Subject0-1_Experiment1-2-3_Time_window-300-800_Freq-50-nan,logistic regression,1.0,0.8416666666666667,1.0,0.4666666666666667,1.0,0.3888888888888889,1.0,0.42424242424242425
V2_PCA20_TimeBin1_RAW_Subject0-1_Experiment1-2-3_Time_window-300-800_Freq-50-nan,logistic regression,1.0,0.775,1.0,0.23529411764705882,1.0,0.2222222222222222,1.0,0.22857142857142856
V2_PCA20_TimeBin10_Subject0-1_Experiment1-2-3_Time_window--400-1600_Freq-50-nan,logistic regression,1.0,0.8833333333333333,1.0,0.6111111111111112,1.0,0.6111111111111112,1.0,0.6111111111111112
V1_TimeBin1_rms_Subject0-1_Experiment1-2-3_Time_window--400-1600_Freq-50-nan,logistic regression,0.9041666666666667,0.8416666666666667,0.90625,0.4444444444444444,0.4027777777777778,0.2222222222222222,0.5576923076923077,0.2962962962962963
V1_TimeBin1_derivative_Subject0-1_Experiment1-2-3_Time_window--400-1600_Freq-50-nan,logistic regression,0.850022928130732,0.8501459062864766,1.0,1.0,0.0001528542048802179,0.0009727085765104775,0.000305661688086141,0.001943526667962351
V1_TimeBin1_RAW_Subject0-1_Experiment1-2-3_Time_window--400-1600_Freq-50-nan,logistic regression,0.8504708333333333,0.8492875,0.5277028683500858,0.42597402597402595,0.029895833333333333,0.013666666666666667,0.056585917270205975,0.02648364957610012
V2_TimeBin1_RAW_Subject0_Experiment1_Time_window--400-1600_Freq-50-nan,logistic regression,1.0,0.8,1.0,1.0,1.0,0.2,1.0,0.33333333333333337
V2_TimeBin1_RAW_Subject0_Experiment2_Time_window--400-1600_Freq-50-nan,logistic regression,1.0,0.7,1.0,0.0,1.0,0.0,1.0,
V2_TimeBin1_DERIVATIVE_Subject0-1_Experiment1-2-3_Time_window--400-1600_Freq-50-nan,logistic regression,1.0,0.825,1.0,0.2,1.0,0.05555555555555555,1.0,0.08695652173913045
